City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Kodiak,57.79,-152.4072,26.6,80,1,5.75,US,2021-02-03 18:45:17
67,Pinega,64.7001,43.3936,1.45,94,89,3.13,RU,2021-02-03 18:45:17
68,Port Alfred,-33.5906,26.891,70.0,92,0,1.99,ZA,2021-02-03 18:43:02
69,Bambous Virieux,-20.3428,57.7575,80.6,83,40,9.22,MU,2021-02-03 18:45:17
70,Mana,5.6592,-53.7767,80.71,79,98,15.5,GF,2021-02-03 18:45:17
71,Shimoda,34.6667,138.95,34.0,70,0,1.99,JP,2021-02-03 18:45:17
72,Chuy,-33.6971,-53.4616,71.26,97,100,14.54,UY,2021-02-03 18:45:17
73,Victoria,22.2855,114.1577,64.0,82,0,1.99,HK,2021-02-03 18:43:05
74,Vaini,-21.2,-175.2,77.0,100,75,8.52,TO,2021-02-03 18:45:18
75,Yar-Sale,66.8333,70.8333,-0.67,93,93,8.25,RU,2021-02-03 18:45:18
76,Nanortalik,60.1432,-45.2371,18.66,81,0,16.71,GL,2021-02-03 18:45:18
77,Altay,47.8667,88.1167,12.83,86,100,1.3,CN,2021-02-03 18:45:18
78,Bluff,-46.6,168.3333,51.62,75,71,13.62,NZ,2021-02-03 18:45:18
79,Labranzagrande,5.5622,-72.575,85.32,32,10,6.91,CO,2021-02-03 18:45:18
80,Kashi,39.4547,75.9797,30.2,59,0,11.18,CN,2021-02-03 18:45:18
81,Bethel,41.3712,-73.414,33.01,64,90,11.5,US,2021-02-03 18:45:18
82,Kosonsoy,41.2561,71.5508,37.4,56,0,4.61,UZ,2021-02-03 18:45:18
83,Hami,42.8,93.45,25.21,83,39,2.3,CN,2021-02-03 18:45:18
84,Huilong,31.8111,121.655,48.99,79,0,12.46,CN,2021-02-03 18:45:19
85,Arraial Do Cabo,-22.9661,-42.0278,89.6,61,0,24.16,BR,2021-02-03 18:45:19
86,Bakloh,32.4667,75.9167,48.47,61,100,10.83,IN,2021-02-03 18:45:19
