City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
254,Isangel,VU,78.04,clear sky,-19.55,169.2667,Volcano Sea View Tree House
256,Nicoya,CR,87.8,scattered clouds,10.1483,-85.45200000000001,Guayacan Real
260,Kota Tinggi,MY,75.2,few clouds,1.7381,103.8999,Canopy Tribe
263,Acapulco,MX,84.2,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
264,Inhumas,BR,78.8,light rain,-16.3578,-49.4961,Hotel Classic
265,Honiara,SB,77.14,light rain,-9.4333,159.95,Heritage Park Hotel
267,Soyo,AO,80.76,overcast clouds,-6.1349,12.3689,Hotel Mpampa
270,Benjamin Constant,BR,86.0,broken clouds,-4.3831,-70.0311,CASA AVALIADA
273,Alagoinhas,BR,87.1,overcast clouds,-12.1356,-38.4192,Alagoinhas Plaza Hotel
277,Sao Joao Da Barra,BR,75.2,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
285,Axim,GH,80.6,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
288,Moranbah,AU,75.9,overcast clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
295,Cozumel,MX,84.2,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
298,Coahuayana,MX,75.2,clear sky,18.7333,-103.6833,Hotel Los Arcos
299,Tautira,PF,75.2,light rain,-17.7333,-149.15,Pension Oaoa
300,Alofi,NU,75.2,overcast clouds,-19.0595,-169.9187,Taloa Heights
301,Denpasar,ID,78.8,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
311,Bandarbeyla,SO,76.48,clear sky,9.4942,50.8122,JABIR HOTEL
315,Ancud,CL,77.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
317,Kavaratti,IN,81.0,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
321,Bowen,AU,75.2,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
334,Caraballeda,VE,87.8,few clouds,10.6112,-66.8522,Hotel 15 Letras
341,Meulaboh,ID,77.36,broken clouds,4.1363,96.1285,Kost Pria
